,name,states,transitions,encoding,time,lower_reachability_value,lower_importance_value,upper_reachability_value,upper_importance_value,start_state,via_state,target_state,timeout,status
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.03177309036254883,0.81,0.619,0.81,0.619,q0: start,q45: companywaitingForResultApproval,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.26797986030578613,0.81,1.0,0.81,1.0,q0: start,q22: Givefeedback1,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02170395851135254,0.81,1.0,0.81,1.0,q0: start,q22: Givefeedback1,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.12413787841796875,0.81,0.0,0.81,0.0,q0: start,q26: negative,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.026034832000732422,0.81,0.0,0.81,0.0,q0: start,q26: negative,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.06429505348205566,0.81,0.97,0.81,0.97,q0: start,q8: activated,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.0240478515625,0.81,0.97,0.81,0.97,q0: start,q8: activated,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.12257909774780273,0.81,1.0,0.81,1.0,q0: start,q44: waitingForResultApproval,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02365899085998535,0.81,1.0,0.81,1.0,q0: start,q44: waitingForResultApproval,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.20136094093322754,0.81,0.341,0.81,0.341,q0: start,q57: subjectAcceptanceReceived,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.020669937133789062,0.81,0.341,0.81,0.341,q0: start,q57: subjectAcceptanceReceived,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.08527493476867676,0.81,0.381,0.81,0.381,q0: start,q53: waitingForSubjectAcceptance,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.03002309799194336,0.81,0.381,0.81,0.381,q0: start,q53: waitingForSubjectAcceptance,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07382512092590332,0.81,1.0,0.81,1.0,q0: start,q13: started,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.07120418548583984,0.81,1.0,0.81,1.0,q0: start,q13: started,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.0676429271697998,0.81,0.97,0.81,0.97,q0: start,q10: companyactivated,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02418684959411621,0.81,0.97,0.81,0.97,q0: start,q10: companyactivated,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07036304473876953,0.81,1.0,0.81,1.0,q0: start,q49: finished,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.031861066818237305,0.81,1.0,0.81,1.0,q0: start,q49: finished,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.2123570442199707,0.81,0.952,0.81,0.952,q0: start,q40: waitingForScores,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02696084976196289,0.81,0.952,0.81,0.952,q0: start,q40: waitingForScores,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07241582870483398,0.81,1.0,0.81,1.0,q0: start,q50: companyfinished,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.04116320610046387,0.81,1.0,0.81,1.0,q0: start,q50: companyfinished,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.06931900978088379,0.81,0.256,0.81,0.256,q0: start,q62: companysubjectAcceptanceReceived,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.028207063674926758,0.81,0.256,0.81,0.256,q0: start,q62: companysubjectAcceptanceReceived,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07425737380981445,0.81,0.048,0.81,0.048,q0: start,q63: companyResultsautomaticallyshared,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.034111976623535156,0.81,0.048,0.81,0.048,q0: start,q63: companyResultsautomaticallyshared,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07341599464416504,0.81,1.0,0.81,1.0,q0: start,q15: Taskevent0,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02921319007873535,0.81,1.0,0.81,1.0,q0: start,q15: Taskevent0,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.06788802146911621,0.81,0.256,0.81,0.256,q0: start,q56: Resultsautomaticallyshared,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.025877952575683594,0.81,0.256,0.81,0.256,q0: start,q56: Resultsautomaticallyshared,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.21879005432128906,0.81,0.03,0.81,0.03,q0: start,q1: companystart,q52: positive,36000,2
